"TOA5","CR3000_Estac","CR3000","4133","CR3000.Std.10","CPU:Betania_25_03.CR3","5021","Baixa"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","NRLite_Avg","CM3Up_Avg","CM3Dn_Avg","CG3UpCorr_Avg","CG3DnCorr_Avg","CNR1TC_Avg","CMA11Up_Avg","CMA11Dn_Avg","LI190S_Avg","VW_Avg","HFP01_Avg","STP01_50cm_Avg","STP01_20cm_Avg","STP01_10cm_Avg","STP01_5cm_Avg","STP01_2cm_Avg","CS106_Avg","HMP45C_Temp_Avg","HMP45C_RH_Avg","WindSpeed","WindDirection","TB4_Tot"
"TS","RN","","","W/m2","W/m2","W/m2","W/m2","W/m2","deg_C","W/m2","W/m2","umol/mol","%","W/m2","deg_C","deg_C","deg_C","deg_C","deg_C","hPa","dec_C","%","m/s","Deg","mm"
"","","Min","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","WVc:Averaged_Value","WVc:Averaged_Value","Tot"
"2011-04-04 18:20:00",50742,12.46,31.07,-11.99152,0,0.08538429,459.5646,473.8382,30.21361,0,0.06973301,0.4705467,0.2925751,-4.129441,28.26286,29.1156,29.37735,29.32765,29.14871,1004.502,28.91151,67.02573,0.4432873,77.46766,0
"2011-04-04 18:30:00",50743,12.45,30.72,-10.88059,0,0.1106849,460.2739,472.7165,29.95926,0,0.06427086,0.145647,0.2924826,-4.391585,28.26693,29.09613,29.3153,29.25236,29.08376,1004.698,28.62226,69.19769,0.6868168,85.46221,0
"2011-04-04 18:40:00",50744,12.45,30.43,-9.596405,0.004743657,0.4312771,462.931,473.6773,29.92216,0,0.1667838,0.1505497,0.2923968,-4.635463,28.27321,29.08077,29.26052,29.18902,29.03338,1004.907,28.7706,68.38405,0.8359403,80.83992,0
"2011-04-04 18:50:00",50745,12.44,30.19,-12.2963,0,0.3008263,458.287,472.7597,29.82038,0,0.1189017,0.1743576,0.2922956,-5.027705,28.27814,29.06251,29.20922,29.13151,28.96218,1005.136,28.69059,69.99989,0.7521504,69.30296,0
"2011-04-04 19:00:00",50746,12.44,29.96,-18.7471,0,0.4866191,454.4206,471.5841,29.66705,0,0.1558576,0.1673551,0.2921711,-5.188345,28.28342,29.04337,29.1595,29.07047,28.88243,1005.303,28.55921,70.75156,1.101519,65.35744,0
"2011-04-04 19:10:00",50747,12.44,29.72,-18.01802,0,0.3399633,448.3122,469.6691,29.44453,0,0.1070121,0.1568525,0.2920561,-5.546761,28.28924,29.02406,29.11092,29.00255,28.79534,1005.505,28.28564,71.21427,0.9687296,81.50036,0
"2011-04-04 19:20:00",50748,12.42,29.47,-23.10132,0,0.5162688,439.6304,467.4532,29.19375,0,0.1484668,0.1463488,0.2919583,-6.223358,28.29424,29.00369,29.06334,28.94177,28.74277,1005.634,28.11016,71.26275,0.8800405,71.54855,0
"2011-04-04 19:30:00",50749,12.43,29.2,-30.41439,0,0.8732399,428.5603,465.2126,28.95629,0,0.2480904,0.1428493,0.2918437,-6.82852,28.3,28.98265,29.0174,28.88134,28.66513,1005.799,28.03169,72.96146,0.9385135,73.23931,0
"2011-04-04 19:40:00",50750,12.42,28.92,-31.461,0,0.7747994,424.8599,462.6719,28.67167,0,0.2092036,0.1330444,0.2917557,-7.3246,28.30562,28.95992,28.9702,28.81773,28.58051,1005.847,27.75318,75.48006,0.419113,85.34232,0
"2011-04-04 19:50:00",50751,12.42,28.6,-30.38782,0,0.4419588,423.1886,459.6938,28.2765,0,0.08259001,0.1456509,0.2916747,-7.662819,28.31094,28.94248,28.92043,28.75529,28.49898,1005.946,27.17912,78.10812,0.1781962,143.9664,0
